"","Asignatura","Profesor","Item_1","Item_2","Item_3","Item_4","Item_5","Item_6","Item_7","Item_8","Item_9","Item_10"
"1",2,6,5,6,4,8,7,3,5,7,7,9
"2",2,6,7,7,6,6,6,8,7,7,8,8
"3",2,6,10,10,10,10,10,10,10,10,10,10
"4",2,6,8,7,7,6,7,8,7,7,7,8
"5",2,6,9,8,8,8,9,9,8,9,8,8
"6",2,6,7,8,8,6,9,9,5,6,7,9
"7",2,6,6,7,10,10,8,9,10,10,10,9
"8",2,6,8,9,7,9,4,7,9,10,10,9
"9",2,6,7,2,7,8,8,6,9,8,2,7
"10",2,6,9,8,8,7,8,7,9,8,9,9
"11",2,6,8,5,8,3,6,9,9,9,4,8
"12",2,6,5,9,5,10,9,10,10,10,9,6
"13",2,6,10,10,10,10,10,10,10,10,10,10
"14",2,6,7,6,7,8,7,6,7,7,7,8
"15",2,6,4,2,2,3,3,6,8,8,6,3
"16",2,6,6,8,6,5,6,6,7,5,7,9
"17",2,6,9,8,8,8,7,7,8,8,8,7
"18",2,6,1,1,1,1,1,1,1,1,1,1
"19",2,6,7,5,7,8,6,8,5,7,6,7
"20",2,6,1,1,1,1,1,1,3,1,1,1
"21",2,6,9,9,9,8,7,8,9,9,9,9
"22",2,6,8,9,8,9,8,10,8,9,9,9
"23",2,6,9,7,9,8,9,7,9,9,7,9
"24",2,6,7,6,7,8,7,9,7,7,7,7
"25",2,6,4,5,4,5,4,6,7,7,8,6
"26",2,6,5,5,6,6,6,9,9,9,9,9
"27",2,6,7,7,8,6,4,6,8,9,8,7
"28",2,6,10,7,9,9,8,9,10,9,9,10
"29",2,6,10,9,9,10,9,9,9,9,10,9
"30",5,4,3,2,2,3,3,9,7,6,2,4
"31",5,4,8,7,9,7,7,8,9,7,8,9
"32",5,4,5,5,5,5,5,5,5,5,5,5
"33",5,4,8,10,9,8,9,10,10,8,10,10
"34",5,4,6,1,5,5,3,5,5,8,9,4
"35",5,4,9,8,10,8,8,8,9,8,10,10
"36",5,4,8,9,9,9,8,9,9,6,10,9
"37",5,4,10,10,10,10,10,10,10,10,10,10
"38",5,4,7,7,5,5,6,8,7,5,5,8
"39",5,4,7,4,8,4,9,9,9,9,7,8
"40",5,4,9,8,9,9,8,10,10,9,10,9
"41",5,4,10,7,8,9,9,9,10,8,9,10
"42",5,4,6,2,7,5,7,7,8,5,3,5
"43",5,4,7,8,7,7,6,8,7,6,6,7
"44",5,4,8,9,7,9,8,7,9,7,9,8
"45",5,4,8,5,8,4,9,10,10,8,8,9
"46",5,4,10,8,10,10,10,10,8,8,9,10
"47",5,4,7,6,6,6,7,9,8,7,7,8
"48",5,4,9,7,9,10,9,10,10,6,10,10
"49",5,4,9,8,7,7,6,8,8,4,7,8
"50",5,4,8,7,7,6,7,8,7,7,8,8
"51",5,4,7,7,6,6,7,7,8,7,8,9
"52",3,2,8,7,7,9,8,8,7,8,8,7
"53",3,2,8,7,7,8,8,9,8,8,9,9
"54",3,2,10,9,9,9,8,9,10,5,10,9
"55",3,2,6,1,5,4,4,9,6,5,1,6
"56",3,2,7,3,6,7,8,8,10,8,10,8
"57",3,2,6,1,5,7,4,2,7,5,2,5
"58",3,2,10,8,7,4,10,10,10,10,10,10
"59",3,2,9,8,8,7,7,9,10,9,8,9
"60",3,2,7,5,8,10,4,7,9,9,3,8
"61",3,2,8,4,3,9,6,9,10,9,3,8
"62",3,2,7,5,9,9,8,10,10,10,7,8
"63",3,2,7,6,8,9,5,5,10,6,3,7
"64",3,2,7,2,5,6,6,8,9,6,6,7
"65",3,2,7,1,7,6,5,4,9,5.5,5,5.5
"66",3,2,6,3,8,6,6,9,9,8,3,6
"67",3,2,7,2,6,9,5,8,9,7,7,8
"68",3,2,7,3,7,9,5,9,9,7,4,7
"69",3,2,7,3,4,5,3,10,10,9,4,7
"70",3,2,8,7,9,9,6,7,7,8,6,9
"71",3,2,9,9,9,7,6,10,10,7,9,9
"72",3,2,7,5,7,7,6,10,8,8,8,8
"73",3,2,8,5,7,9,9,8,10,7,8,8
"74",4,3,10,9,9,9,8,6,9,5,9,9
"75",4,3,8,6,7,6,6,7,8,7,6,7
"76",4,3,6,3,5,6,8,1,5,7,8,8
"77",4,3,7,8,7,8,7,10,9,6,8,9
"78",4,3,7,5,7,7,5,4,8,4,5,8
"79",4,3,8,7,8,6,9,6,7,5,6,8
"80",4,3,10,9,9,9,6,5,10,4,7,7
"81",4,3,9,5,7,7,10,1,8,5,7,8
"82",4,3,9,8,7,7,8,8,9,8,9,10
"83",4,3,9,8,6,7,3,6,7,6,10,8
"84",4,3,2,3,3,5,1,2,7,4,6,3
"85",4,3,8,9,8,8,7,10,9,8,9,9
"86",4,3,4,5,5,8,8,1,6,4,7,8
"87",4,3,8,7,9,8,9,7,7,7,8,8
"88",4,3,10,8,6,7,9,5,10,4,7,7
"89",4,3,10,10,9,9,10,10,10,10,10,10
"90",4,3,8,7,7,5,7,5,7,5,8,7
"91",4,3,8,9,8,6,8,10,10,7,8,10
"92",4,3,3,1,2,4,5,7,7,7,3,3
"93",4,3,8,6,8,5,5,4,8,5,4,7
"94",4,3,6,1,1,3,7,7,9,5,1,1
"95",4,3,7,7,6,6,6,7,6,7,7,7
"96",4,3,7,6,7,7,7,3,7,5,9,7
"97",4,3,7,7,7.5,8,7,7,9,7.5,9,8
"98",4,3,9,7,8,8,8,8,8,8,8,8
"99",4,3,4,8,7,6,7,7,8,5,7,7
"100",4,3,9,9,8,9,8,8,9,9,9,9
"101",1,31,8,7,8,8,7,9,9,8,8,9
"102",1,31,8,7,9,5,5,10,8,7,7,8
"103",1,31,8,9,10,8,9,10,8,9,10,10
"104",1,31,8,4,2,5,3,10,8,10,4,6
"105",1,31,6,5,4,5,4,5,6,4,5,3
"106",1,31,6,7,7,6,6,7,8,6,7,7
"107",1,31,7,7,6,7,7,8,9,6,9,8
"108",1,31,9,9,9,8,7,10,10,8,9,9
"109",1,31,9,9,9,9,8,10,9,8,9,9
"110",1,31,8,7,8,7,7,10,9,8,8,8
"111",1,31,7,6,8,10,8,7,7,8,6,7
"112",1,31,6,6,8,7,10,10,9,9,7,7
"113",1,31,7,6,7,6,6,9,8,7,8,7
"114",1,31,9,8,8,9,7,8,8,8,7,8
"115",1,31,10,9,9,10,10,10,8,10,10,10
"116",1,31,10,10,10,10,10,10,10,10,10,10
"117",1,31,7,6,7,7,8,8,8,9,7,7
"118",4,3,8,8,8,8,7,7,9,8,9,9
"119",4,3,9,8,9,8,8,10,9,10,9,9
"120",4,3,10,10,2,5,10,10,10,10,10,9
"121",4,3,8,8,8,8,8,8,8,8,8,8
"122",4,3,9,8,8,7,7,8,10,8,10,9
"123",4,3,10,9,10,10,10,8,10,10,10,10
"124",4,3,10,10,10,10,10,10,10,10,10,10
"125",4,3,10,7,9,2,6,10,9,5,8,7
"126",4,3,9,7,9,8,7,10,10,7,7,9
"127",4,3,10,9,10,10,8,10,10,9,10,10
"128",4,3,8,9,9,10,9,10,9,10,9,10
"129",4,3,10,9,9,8,8,9,10,7,9,9
"130",4,3,10,9,9,10,10,10,8,8,8,10
"131",4,3,2,5,1,7,5,9,8,9,5,3
"132",4,3,8,7,8,5,6,8,8,9,9,8
"133",4,3,9,10,10,9,10,10,10,10,10,10
"134",4,3,7,8,9,10,9,8,7,8,9,10
"135",4,3,8,7,8,7,8,8,7,7,7,8
"136",4,3,9,9,7,8,8,7,10,10,9,10
"137",4,3,9,10,10,10,8,10,10,10,10,10
"138",1,31,7,2,5,5,5,10,8,9,3,5
"139",1,31,9,8,9,9,8,10,10,10,9,9
"140",1,31,5,3,2,4,3,10,2,9,3,5
"141",1,31,8,7,9,8,6,10,8,8,10,6
"142",1,31,9,9,8,7,8,10,9,8,10,8
"143",1,31,3,1,1,7,4,10,7,6,1,4
"144",1,31,8,8,8,8,9,7,8,9,9,10
"145",1,31,6,4,6,5,6,7,10,10,5,7
"146",1,31,7,7,6,10,5,9,10,8,8,8
"147",1,31,8,7,7,7,7,7,7,7,7,7
"148",1,31,8,10,10,10,2,10,10,9,1,2
"149",1,31,7,6,6,7,7,10,9,8,8,7
"150",1,31,9,10,10,9,10,10,10,10,10,10
"151",1,31,10,10,10,10,10,10,10,10,10,10
"152",1,31,9,9,10,10,10,10,9,10,9,10
"153",1,31,8,6,5,7,7,9,7,9,7,5
"154",1,31,5,3,4,3,4,5,5,3,3,2
"155",1,31,8,8,8,8,8,10,9,9,10,9
"156",3,2,5,1,5,10,1,10,9,7,1,3
"157",3,2,5,2,4,3,3,10,8,9,1,4
"158",3,2,2,1,2,2,1,4,1,1,1,1
"159",3,2,6,5,8,6,1,10,7,9,6,4
"160",3,2,9,9,7,7,7,10,10,10,8,6
"161",3,2,8,7,8,10,5,9,10,9,6,8
"162",3,2,3,2,2,3,1,3,2,3,2,1
"163",3,2,9,9,10,10,10,10,10,10,10,10
"164",3,2,10,10,10,10,6,10,10,10,10,10
"165",3,2,7,5,6,8,2,9,9,8,6,7
"166",3,2,9,6,7,8,6,10,9,10,7,8
"167",3,2,8,8,7,9,8,8,7,8,9,8
"168",3,2,9,6,9,4,7,10,9,7,2,6
"169",3,2,10,9,10,10,6,9,10,10,10,9
"170",3,2,1,2,3,4,5,6,7,8,9,10
"171",3,2,7,9,9,8,8,10,8,7,8,8
"172",3,2,8,7,9,9,8,10,8,10,9,9
"173",3,2,10,8,10,9,9,8,9,9,9,9
"174",3,2,8,7,4,9,1,10,10,10,8,9
"175",3,2,9,6,8,9,9,10,9,5,6,6
"176",3,2,8,4,6,7,7,6,5,4,6,5
"177",3,2,7,6,6,5,4,6,7,6,6,6
"178",2,30,9,9,9,9,10,10,9,10,10,10
"179",2,30,8,5,7,7,5,10,9,10,7,9
"180",2,30,10,9,10,10,10,10,10,10,10,10
"181",2,30,7,6,6,3,9,10,8,10,10,5
"182",2,30,8,5,6,7,5,10,7,8,10,7
"183",2,30,9,8,6,10,3,10,10,10,10,9
"184",2,30,5,3,5,8,8,10,10,9,9,6
"185",2,30,9,7,9,8,9,10,10,10,10,10
"186",2,30,10,3,6,7,7,10,10,10,8,10
"187",2,30,9,3,10,10,10,10,10,10,8,9
"188",2,30,9,9,8,9,9,10,10,9,10,10
"189",2,30,10,7,10,10,9,10,10,9,10,10
"190",2,30,6,4,6,10,8,10,9,10,8,7
"191",2,30,7,7,7,7,7,10,7,7,7,7
"192",2,30,8,4,8,10,8,8,10,10,6,9
"193",2,30,8,10,10,10,10,10,9,9,10,8
"194",2,30,10,10,10,10,2,10,10,10,10,9
"195",2,30,10,9,10,10,10,10,10,9,10,10
"196",2,30,10,10,8,9,7,9,10,9,7,10
"197",2,30,6,8,6,8,8,9,10,9,8,8
"198",2,30,9,9,9,10,8,10,10,10,9,10
"199",2,30,8,7,6,8,8,10,10,10,8,7
"200",2,30,10,9,10,9,9,10,10,10,10,10
"201",2,30,6,7,8,9,10,9,8,7,6,7
"202",2,30,9,10,8,9,10,10,9,9,10,9
"203",2,30,10,10,10,10,10,10,10,10,10,10
"204",2,30,10,9,9,9,9,10,8,10,10,9
"205",5,4,7,6,5,7,8,10,8,6,6,7
"206",5,4,6,10,6,10,8,10,10,10,10,9
"207",5,4,4,6,4,6,8,9,7,6,4,7
"208",5,4,5,3,5,6,8,10,8,5,4,6
"209",5,4,5,2,3,7,10,10,10,10,2,6
"210",5,4,10,8,5,8,10,10,9,10,9,10
"211",5,4,9,6,8,5,9,10,10,10,8,8
"212",5,4,10,9,10,8,10,10,10,9,10,10
"213",5,4,10,9,10,9,10,10,10,8,10,10
"214",5,4,4,1,6,4,1,3,3,2,1,5
"215",5,4,8,6,7,5,6,10,9,8,5,7
"216",5,4,8,4,7,7,8,10,9,8,5,6
"217",5,4,8,8,8,8,8,10,9,8,8,8
"218",5,4,7,6,7,8,9,9,9,8,7,8
"219",5,4,6,2,8,1,6,10,5,5,6,8
"220",5,4,8,9,10,10,7,10,10,6,9,9
"221",5,4,6,5,5,8,5,10,10,9,5,6
"222",5,4,5,6,5,5,8,7,8,7,7,6
"223",5,4,9,8,8,8,8,10,10,8,8,8
"224",5,4,9,8,9,8,9,10,10,10,9,9
"225",5,4,5,6,7,8,9,10,9,8,7,6
"226",5,4,8,6,9,9,9,10,10,8,6,9
"227",5,4,9,9,8,10,9,10,10,9,5,9
"228",6,4,10,9,10,10,8,10,10,9,8,9
"229",6,4,7,7,7,7,9,10,8,5,2,7
"230",6,4,7,4,3,3,5,9,9,5,6,7
"231",6,4,6,3,5,4,4,7,6,6,3,5
"232",6,4,6,7,8,6,8,7,9,8,7,9
"233",6,4,6,5,4,6,6,5,6,8,5,4
"234",6,4,8,6,6,6,7,9,9,5,6,7
"235",6,4,6,5,5,9,6,10,10,10,8,8
"236",6,4,7,3,7,5,9,10,7,2,1,5
"237",6,4,8,8,8,9,7,8,8,8,8,8
"238",6,4,8,7,8,8,8,10,9,7,8,9
"239",6,4,8,8,8,9,8,7,9,8,8,9
"240",6,4,9,9,8,9,8,10,9,9,9,10
"241",6,4,6,7,8,6,9,9,10,9,10,9
"242",6,4,8,5,8,8,8,8,8,8,8,8
"243",6,4,7,6,8,7,7,10,10,9,10,10
"244",6,4,6,7,7,6,5,7,7,7,8,8
"245",6,4,10,10,10,10,5,9,10,8,8,9
"246",6,4,9,7,9,8,8,10,10,10,8,9
"247",6,4,7,3,5,8,4,8,7,8,5,7
"248",6,4,8,8,8,7,5,10,7,7,9,8
"249",6,4,10,10,9,9,9,8,7,5,9,10
"250",6,4,8,6,8,5,5,7,7,5,3,8
"251",6,4,9,9,9,9,10,10,10,10,9,9
"252",6,4,6,6,6,7,7,7,6,6,7,8
"253",6,4,8,9,9,9,8,9,9,8,9,7
"254",6,4,10,3,3,1,10,10,10,10,10,7
"255",6,4,9,5,7,9,10,10,10,10,6,9
"256",6,4,7,7,6,9,7,7,6,8,8,8
"257",6,4,6,5,6,8,7,9,8,9,5,6
"258",6,4,8,7,9,6,8,8,8,8,9,10
"259",6,4,9,8,9,8,8,9,8,9,7,8
"260",6,4,7,6,6,5,4,4,7,3,3,5
"261",6,4,5,8,8,10,9,10,9,8,7,8
"262",6,4,3,4,6,8,6,8,7,5,1,5
"263",6,4,8,4,8,7,9,10,8,2,6,8
"264",6,4,7,6,8,9,9,9,10,9,9,9
"265",6,4,4,3,6,7,5,3,6,4,4,4
"266",6,4,7,6,7,8,9,10,9,8,9,10
"267",8,1,10,10,10,8,10,10,10,10,10,9
"268",8,1,5,6,6,7,8,9,8,10,9,8
"269",8,1,3,6,4,2,4,8,1,5,3,2
"270",8,1,4,3,6,8,7,5,8,9,5,8
"271",8,1,4,5,2,5,3,7,5,6,4,3
"272",8,1,5,5,6,8,6,9,7,8,9,6
"273",8,1,7,6,2,8,4,8,5,8,7,4
"274",8,1,9,9,9,8,9,10,9,9,10,9
"275",8,1,10,8,10,10,10,10,10,10,10,9
"276",8,1,8,6,8,7,6,8,9,9,7,7
"277",8,1,9,10,8,7,7,8,9,7,9,8
"278",8,1,2,2,4,1,5,9,6,7,2,1
"279",8,1,7,7,9,4,5,9,6,9,9,7
"280",8,1,7,7,7,10,7,10,8,7,7,8
"281",8,1,2,1,2,6,4,7,5,4,4,5
"282",8,1,6,8,7,6,7,7,6,7,9,7
"283",8,1,5,9,5,6,5,8,6,7,6,6
