División,Curso,Grupo,Asignatura,Profesor,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
2,1,A, 2, 6,5.0,6.0,4.0,8.0,7.0,3.0,5.0,7.0,7.0,9.0
2,1,A, 2, 6,7.0,7.0,6.0,6.0,6.0,8.0,7.0,7.0,8.0,8.0
2,1,A, 2, 6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,A, 2, 6,8.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,8.0
2,1,A, 2, 6,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0
2,1,A, 2, 6,7.0,8.0,8.0,6.0,9.0,9.0,5.0,6.0,7.0,9.0
2,1,A, 2, 6,6.0,7.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0
2,1,A, 2, 6,8.0,9.0,7.0,9.0,4.0,7.0,9.0,10.0,10.0,9.0
2,1,A, 2, 6,7.0,2.0,7.0,8.0,8.0,6.0,9.0,8.0,2.0,7.0
2,1,A, 2, 6,9.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,9.0,9.0
2,1,A, 2, 6,8.0,5.0,8.0,3.0,6.0,9.0,9.0,9.0,4.0,8.0
2,1,A, 2, 6,5.0,9.0,5.0,10.0,9.0,10.0,10.0,10.0,9.0,6.0
2,1,A, 2, 6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,A, 2, 6,7.0,6.0,7.0,8.0,7.0,6.0,7.0,7.0,7.0,8.0
2,1,A, 2, 6,4.0,2.0,2.0,3.0,3.0,6.0,8.0,8.0,6.0,3.0
2,1,A, 2, 6,6.0,8.0,6.0,5.0,6.0,6.0,7.0,5.0,7.0,9.0
2,1,A, 2, 6,9.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0
2,1,A, 2, 6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1,A, 2, 6,7.0,5.0,7.0,8.0,6.0,8.0,5.0,7.0,6.0,7.0
2,1,A, 2, 6,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
2,1,A, 2, 6,9.0,9.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0
2,1,A, 2, 6,8.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0
2,1,A, 2, 6,9.0,7.0,9.0,8.0,9.0,7.0,9.0,9.0,7.0,9.0
2,1,A, 2, 6,7.0,6.0,7.0,8.0,7.0,9.0,7.0,7.0,7.0,7.0
2,1,A, 2, 6,4.0,5.0,4.0,5.0,4.0,6.0,7.0,7.0,8.0,6.0
2,1,A, 2, 6,5.0,5.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0
2,1,A, 2, 6,7.0,7.0,8.0,6.0,4.0,6.0,8.0,9.0,8.0,7.0
2,1,A, 2, 6,10.0,7.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0
2,1,A, 2, 6,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0
2,1,A, 5, 4,3.0,2.0,2.0,3.0,3.0,9.0,7.0,6.0,2.0,4.0
2,1,A, 5, 4,8.0,7.0,9.0,7.0,7.0,8.0,9.0,7.0,8.0,9.0
2,1,A, 5, 4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,1,A, 5, 4,8.0,10.0,9.0,8.0,9.0,10.0,10.0,8.0,10.0,10.0
2,1,A, 5, 4,6.0,1.0,5.0,5.0,3.0,5.0,5.0,8.0,9.0,4.0
2,1,A, 5, 4,9.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,10.0,10.0
2,1,A, 5, 4,8.0,9.0,9.0,9.0,8.0,9.0,9.0,6.0,10.0,9.0
2,1,A, 5, 4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,A, 5, 4,7.0,7.0,5.0,5.0,6.0,8.0,7.0,5.0,5.0,8.0
2,1,A, 5, 4,7.0,4.0,8.0,4.0,9.0,9.0,9.0,9.0,7.0,8.0
2,1,A, 5, 4,9.0,8.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0
2,1,A, 5, 4,10.0,7.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0
2,1,A, 5, 4,6.0,2.0,7.0,5.0,7.0,7.0,8.0,5.0,3.0,5.0
2,1,A, 5, 4,7.0,8.0,7.0,7.0,6.0,8.0,7.0,6.0,6.0,7.0
2,1,A, 5, 4,8.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,9.0,8.0
2,1,A, 5, 4,8.0,5.0,8.0,4.0,9.0,10.0,10.0,8.0,8.0,9.0
2,1,A, 5, 4,10.0,8.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0
2,1,A, 5, 4,7.0,6.0,6.0,6.0,7.0,9.0,8.0,7.0,7.0,8.0
2,1,A, 5, 4,9.0,7.0,9.0,10.0,9.0,10.0,10.0,6.0,10.0,10.0
2,1,A, 5, 4,9.0,8.0,7.0,7.0,6.0,8.0,8.0,4.0,7.0,8.0
2,1,A, 5, 4,8.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,8.0,8.0
2,1,A, 5, 4,7.0,7.0,6.0,6.0,7.0,7.0,8.0,7.0,8.0,9.0
2,1,A, 3, 2,8.0,7.0,7.0,9.0,8.0,8.0,7.0,8.0,8.0,7.0
2,1,A, 3, 2,8.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0
2,1,A, 3, 2,10.0,9.0,9.0,9.0,8.0,9.0,10.0,5.0,10.0,9.0
2,1,A, 3, 2,6.0,1.0,5.0,4.0,4.0,9.0,6.0,5.0,1.0,6.0
2,1,A, 3, 2,7.0,3.0,6.0,7.0,8.0,8.0,10.0,8.0,10.0,8.0
2,1,A, 3, 2,6.0,1.0,5.0,7.0,4.0,2.0,7.0,5.0,2.0,5.0
2,1,A, 3, 2,10.0,8.0,7.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,A, 3, 2,9.0,8.0,8.0,7.0,7.0,9.0,10.0,9.0,8.0,9.0
2,1,A, 3, 2,7.0,5.0,8.0,10.0,4.0,7.0,9.0,9.0,3.0,8.0
2,1,A, 3, 2,8.0,4.0,3.0,9.0,6.0,9.0,10.0,9.0,3.0,8.0
2,1,A, 3, 2,7.0,5.0,9.0,9.0,8.0,10.0,10.0,10.0,7.0,8.0
2,1,A, 3, 2,7.0,6.0,8.0,9.0,5.0,5.0,10.0,6.0,3.0,7.0
2,1,A, 3, 2,7.0,2.0,5.0,6.0,6.0,8.0,9.0,6.0,6.0,7.0
2,1,A, 3, 2,7.0,1.0,7.0,6.0,5.0,4.0,9.0,5.5,5.0,5.5
2,1,A, 3, 2,6.0,3.0,8.0,6.0,6.0,9.0,9.0,8.0,3.0,6.0
2,1,A, 3, 2,7.0,2.0,6.0,9.0,5.0,8.0,9.0,7.0,7.0,8.0
2,1,A, 3, 2,7.0,3.0,7.0,9.0,5.0,9.0,9.0,7.0,4.0,7.0
2,1,A, 3, 2,7.0,3.0,4.0,5.0,3.0,10.0,10.0,9.0,4.0,7.0
2,1,A, 3, 2,8.0,7.0,9.0,9.0,6.0,7.0,7.0,8.0,6.0,9.0
2,1,A, 3, 2,9.0,9.0,9.0,7.0,6.0,10.0,10.0,7.0,9.0,9.0
2,1,A, 3, 2,7.0,5.0,7.0,7.0,6.0,10.0,8.0,8.0,8.0,8.0
2,1,A, 3, 2,8.0,5.0,7.0,9.0,9.0,8.0,10.0,7.0,8.0,8.0
2,1,A, 4, 3,10.0,9.0,9.0,9.0,8.0,6.0,9.0,5.0,9.0,9.0
2,1,A, 4, 3,8.0,6.0,7.0,6.0,6.0,7.0,8.0,7.0,6.0,7.0
2,1,A, 4, 3,6.0,3.0,5.0,6.0,8.0,1.0,5.0,7.0,8.0,8.0
2,1,A, 4, 3,7.0,8.0,7.0,8.0,7.0,10.0,9.0,6.0,8.0,9.0
2,1,A, 4, 3,7.0,5.0,7.0,7.0,5.0,4.0,8.0,4.0,5.0,8.0
2,1,A, 4, 3,8.0,7.0,8.0,6.0,9.0,6.0,7.0,5.0,6.0,8.0
2,1,A, 4, 3,10.0,9.0,9.0,9.0,6.0,5.0,10.0,4.0,7.0,7.0
2,1,A, 4, 3,9.0,5.0,7.0,7.0,10.0,1.0,8.0,5.0,7.0,8.0
2,1,A, 4, 3,9.0,8.0,7.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0
2,1,A, 4, 3,9.0,8.0,6.0,7.0,3.0,6.0,7.0,6.0,10.0,8.0
2,1,A, 4, 3,2.0,3.0,3.0,5.0,1.0,2.0,7.0,4.0,6.0,3.0
2,1,A, 4, 3,8.0,9.0,8.0,8.0,7.0,10.0,9.0,8.0,9.0,9.0
2,1,A, 4, 3,4.0,5.0,5.0,8.0,8.0,1.0,6.0,4.0,7.0,8.0
2,1,A, 4, 3,8.0,7.0,9.0,8.0,9.0,7.0,7.0,7.0,8.0,8.0
2,1,A, 4, 3,10.0,8.0,6.0,7.0,9.0,5.0,10.0,4.0,7.0,7.0
2,1,A, 4, 3,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,A, 4, 3,8.0,7.0,7.0,5.0,7.0,5.0,7.0,5.0,8.0,7.0
2,1,A, 4, 3,8.0,9.0,8.0,6.0,8.0,10.0,10.0,7.0,8.0,10.0
2,1,A, 4, 3,3.0,1.0,2.0,4.0,5.0,7.0,7.0,7.0,3.0,3.0
2,1,A, 4, 3,8.0,6.0,8.0,5.0,5.0,4.0,8.0,5.0,4.0,7.0
2,1,A, 4, 3,6.0,1.0,1.0,3.0,7.0,7.0,9.0,5.0,1.0,1.0
2,1,A, 4, 3,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0
2,1,A, 4, 3,7.0,6.0,7.0,7.0,7.0,3.0,7.0,5.0,9.0,7.0
2,1,A, 4, 3,7.0,7.0,7.5,8.0,7.0,7.0,9.0,7.5,9.0,8.0
2,1,A, 4, 3,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2,1,A, 4, 3,4.0,8.0,7.0,6.0,7.0,7.0,8.0,5.0,7.0,7.0
2,1,A, 4, 3,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0
2,1,A, 1, 31,8.0,7.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,9.0
2,1,A, 1, 31,8.0,7.0,9.0,5.0,5.0,10.0,8.0,7.0,7.0,8.0
2,1,A, 1, 31,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,10.0
2,1,A, 1, 31,8.0,4.0,2.0,5.0,3.0,10.0,8.0,10.0,4.0,6.0
2,1,A, 1, 31,6.0,5.0,4.0,5.0,4.0,5.0,6.0,4.0,5.0,3.0
2,1,A, 1, 31,6.0,7.0,7.0,6.0,6.0,7.0,8.0,6.0,7.0,7.0
2,1,A, 1, 31,7.0,7.0,6.0,7.0,7.0,8.0,9.0,6.0,9.0,8.0
2,1,A, 1, 31,9.0,9.0,9.0,8.0,7.0,10.0,10.0,8.0,9.0,9.0
2,1,A, 1, 31,9.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0
2,1,A, 1, 31,8.0,7.0,8.0,7.0,7.0,10.0,9.0,8.0,8.0,8.0
2,1,A, 1, 31,7.0,6.0,8.0,10.0,8.0,7.0,7.0,8.0,6.0,7.0
2,1,A, 1, 31,6.0,6.0,8.0,7.0,10.0,10.0,9.0,9.0,7.0,7.0
2,1,A, 1, 31,7.0,6.0,7.0,6.0,6.0,9.0,8.0,7.0,8.0,7.0
2,1,A, 1, 31,9.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,7.0,8.0
2,1,A, 1, 31,10.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0
2,1,A, 1, 31,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,A, 1, 31,7.0,6.0,7.0,7.0,8.0,8.0,8.0,9.0,7.0,7.0
2,1,C, 4, 3,8.0,8.0,8.0,8.0,7.0,7.0,9.0,8.0,9.0,9.0
2,1,C, 4, 3,9.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0
2,1,C, 4, 3,10.0,10.0,2.0,5.0,10.0,10.0,10.0,10.0,10.0,9.0
2,1,C, 4, 3,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2,1,C, 4, 3,9.0,8.0,8.0,7.0,7.0,8.0,10.0,8.0,10.0,9.0
2,1,C, 4, 3,10.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0
2,1,C, 4, 3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,C, 4, 3,10.0,7.0,9.0,2.0,6.0,10.0,9.0,5.0,8.0,7.0
2,1,C, 4, 3,9.0,7.0,9.0,8.0,7.0,10.0,10.0,7.0,7.0,9.0
2,1,C, 4, 3,10.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,10.0
2,1,C, 4, 3,8.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0
2,1,C, 4, 3,10.0,9.0,9.0,8.0,8.0,9.0,10.0,7.0,9.0,9.0
2,1,C, 4, 3,10.0,9.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,10.0
2,1,C, 4, 3,2.0,5.0,1.0,7.0,5.0,9.0,8.0,9.0,5.0,3.0
2,1,C, 4, 3,8.0,7.0,8.0,5.0,6.0,8.0,8.0,9.0,9.0,8.0
2,1,C, 4, 3,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,C, 4, 3,7.0,8.0,9.0,10.0,9.0,8.0,7.0,8.0,9.0,10.0
2,1,C, 4, 3,8.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0
2,1,C, 4, 3,9.0,9.0,7.0,8.0,8.0,7.0,10.0,10.0,9.0,10.0
2,1,C, 4, 3,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0
2,1,C, 1, 31,7.0,2.0,5.0,5.0,5.0,10.0,8.0,9.0,3.0,5.0
2,1,C, 1, 31,9.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0
2,1,C, 1, 31,5.0,3.0,2.0,4.0,3.0,10.0,2.0,9.0,3.0,5.0
2,1,C, 1, 31,8.0,7.0,9.0,8.0,6.0,10.0,8.0,8.0,10.0,6.0
2,1,C, 1, 31,9.0,9.0,8.0,7.0,8.0,10.0,9.0,8.0,10.0,8.0
2,1,C, 1, 31,3.0,1.0,1.0,7.0,4.0,10.0,7.0,6.0,1.0,4.0
2,1,C, 1, 31,8.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0,10.0
2,1,C, 1, 31,6.0,4.0,6.0,5.0,6.0,7.0,10.0,10.0,5.0,7.0
2,1,C, 1, 31,7.0,7.0,6.0,10.0,5.0,9.0,10.0,8.0,8.0,8.0
2,1,C, 1, 31,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2,1,C, 1, 31,8.0,10.0,10.0,10.0,2.0,10.0,10.0,9.0,1.0,2.0
2,1,C, 1, 31,7.0,6.0,6.0,7.0,7.0,10.0,9.0,8.0,8.0,7.0
2,1,C, 1, 31,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,C, 1, 31,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,C, 1, 31,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0
2,1,C, 1, 31,8.0,6.0,5.0,7.0,7.0,9.0,7.0,9.0,7.0,5.0
2,1,C, 1, 31,5.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,2.0
2,1,C, 1, 31,8.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0
2,1,C, 3, 2,5.0,1.0,5.0,10.0,1.0,10.0,9.0,7.0,1.0,3.0
2,1,C, 3, 2,5.0,2.0,4.0,3.0,3.0,10.0,8.0,9.0,1.0,4.0
2,1,C, 3, 2,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0
2,1,C, 3, 2,6.0,5.0,8.0,6.0,1.0,10.0,7.0,9.0,6.0,4.0
2,1,C, 3, 2,9.0,9.0,7.0,7.0,7.0,10.0,10.0,10.0,8.0,6.0
2,1,C, 3, 2,8.0,7.0,8.0,10.0,5.0,9.0,10.0,9.0,6.0,8.0
2,1,C, 3, 2,3.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0
2,1,C, 3, 2,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,C, 3, 2,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0
2,1,C, 3, 2,7.0,5.0,6.0,8.0,2.0,9.0,9.0,8.0,6.0,7.0
2,1,C, 3, 2,9.0,6.0,7.0,8.0,6.0,10.0,9.0,10.0,7.0,8.0
2,1,C, 3, 2,8.0,8.0,7.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0
2,1,C, 3, 2,9.0,6.0,9.0,4.0,7.0,10.0,9.0,7.0,2.0,6.0
2,1,C, 3, 2,10.0,9.0,10.0,10.0,6.0,9.0,10.0,10.0,10.0,9.0
2,1,C, 3, 2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
2,1,C, 3, 2,7.0,9.0,9.0,8.0,8.0,10.0,8.0,7.0,8.0,8.0
2,1,C, 3, 2,8.0,7.0,9.0,9.0,8.0,10.0,8.0,10.0,9.0,9.0
2,1,C, 3, 2,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0
2,1,C, 3, 2,8.0,7.0,4.0,9.0,1.0,10.0,10.0,10.0,8.0,9.0
2,1,C, 3, 2,9.0,6.0,8.0,9.0,9.0,10.0,9.0,5.0,6.0,6.0
2,1,C, 3, 2,8.0,4.0,6.0,7.0,7.0,6.0,5.0,4.0,6.0,5.0
2,1,C, 3, 2,7.0,6.0,6.0,5.0,4.0,6.0,7.0,6.0,6.0,6.0
2,1,C, 2, 30,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0
2,1,C, 2, 30,8.0,5.0,7.0,7.0,5.0,10.0,9.0,10.0,7.0,9.0
2,1,C, 2, 30,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1,C, 2, 30,7.0,6.0,6.0,3.0,9.0,10.0,8.0,10.0,10.0,5.0
2,1,C, 2, 30,8.0,5.0,6.0,7.0,5.0,10.0,7.0,8.0,10.0,7.0
2,1,C, 2, 30,9.0,8.0,6.0,10.0,3.0,10.0,10.0,10.0,10.0,9.0
2,1,C, 2, 30,5.0,3.0,5.0,8.0,8.0,10.0,10.0,9.0,9.0,6.0
2,1,C, 2, 30,9.0,7.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0
2,1,C, 2, 30,10.0,3.0,6.0,7.0,7.0,10.0,10.0,10.0,8.0,10.0
2,1,C, 2, 30,9.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0
2,1,C, 2, 30,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0
2,1,C, 2, 30,10.0,7.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0
2,1,C, 2, 30,6.0,4.0,6.0,10.0,8.0,10.0,9.0,10.0,8.0,7.0
2,1,C, 2, 30,7.0,7.0,7.0,7.0,7.0,10.0,7.0,7.0,7.0,7.0
2,1,C, 2, 30,8.0,4.0,8.0,10.0,8.0,8.0,10.0,10.0,6.0,9.0
2,1,C, 2, 30,8.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0
2,1,C, 2, 30,10.0,10.0,10.0,10.0,2.0,10.0,10.0,10.0,10.0,9.0
2,1,C, 2, 30,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
2,1,C, 2, 30,10.0,10.0,8.0,9.0,7.0,9.0,10.0,9.0,7.0,10.0
2,1,C, 2, 30,6.0,8.0,6.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0
2,1,C, 2, 30,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0
2,1,C, 2, 30,8.0,7.0,6.0,8.0,8.0,10.0,10.0,10.0,8.0,7.0
2,1,C, 2, 30,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
2,1,C, 2, 30,6.0,7.0,8.0,9.0,10.0,9.0,8.0,7.0,6.0,7.0
2,1,C, 2, 30,9.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0
